2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Training Configuration
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Runs: 50
2026-01-07 11:17:13 | INFO     | q_learning | Episodes per run: 300
2026-01-07 11:17:13 | INFO     | q_learning | Learning rate: 0.001
2026-01-07 11:17:13 | INFO     | q_learning | Gamma (discount): 0.99
2026-01-07 11:17:13 | INFO     | q_learning | Epsilon (exploration): 0.1
2026-01-07 11:17:13 | INFO     | q_learning | Render mode: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | Verbose logging: DISABLED
2026-01-07 11:17:13 | INFO     | q_learning | WandB Project: dqn_cartpole
2026-01-07 11:17:13 | INFO     | q_learning | WandB Group: CartPole-v1_DQN_20260107_111713
2026-01-07 11:17:13 | INFO     | q_learning | Log file: ./output/training_20260107_111713.log
2026-01-07 11:17:13 | INFO     | q_learning | ================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | 
================================================================================
2026-01-07 11:17:13 | INFO     | q_learning | Starting Run 1/50
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   62 | Reward:  10.00 | Steps:   10 | Avg(10):   9.60 | Loss: 1.523764
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   63 | Reward:  10.00 | Steps:   10 | Avg(10):   9.50 | Loss: 0.403359
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   64 | Reward:  10.00 | Steps:   10 | Avg(10):   9.50 | Loss: 2.666590
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   65 | Reward:   9.00 | Steps:    9 | Avg(10):   9.50 | Loss: 0.452520
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   66 | Reward:  10.00 | Steps:   10 | Avg(10):   9.40 | Loss: 0.709353
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   67 | Reward:  10.00 | Steps:   10 | Avg(10):   9.50 | Loss: 1.045345
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   68 | Reward:   8.00 | Steps:    8 | Avg(10):   9.40 | Loss: 0.655136
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   69 | Reward:  11.00 | Steps:   11 | Avg(10):   9.60 | Loss: 1.131353
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   70 | Reward:   9.00 | Steps:    9 | Avg(10):   9.60 | Loss: 0.907108
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   71 | Reward:  11.00 | Steps:   11 | Avg(10):   9.80 | Loss: 2.017328
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   72 | Reward:   9.00 | Steps:    9 | Avg(10):   9.70 | Loss: 1.011666
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   73 | Reward:  10.00 | Steps:   10 | Avg(10):   9.70 | Loss: 1.687159
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   74 | Reward:   9.00 | Steps:    9 | Avg(10):   9.60 | Loss: 0.941600
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   75 | Reward:   9.00 | Steps:    9 | Avg(10):   9.60 | Loss: 0.968998
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   76 | Reward:  12.00 | Steps:   12 | Avg(10):   9.80 | Loss: 1.507579
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   77 | Reward:  11.00 | Steps:   11 | Avg(10):   9.90 | Loss: 2.143192
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   78 | Reward:  13.00 | Steps:   13 | Avg(10):  10.40 | Loss: 2.198427
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   79 | Reward:  10.00 | Steps:   10 | Avg(10):  10.30 | Loss: 3.074223
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   80 | Reward:  15.00 | Steps:   15 | Avg(10):  10.90 | Loss: 2.461030
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   81 | Reward:  14.00 | Steps:   14 | Avg(10):  11.20 | Loss: 2.549586
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   82 | Reward:  13.00 | Steps:   13 | Avg(10):  11.60 | Loss: 3.773628
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   83 | Reward:  22.00 | Steps:   22 | Avg(10):  12.80 | Loss: 3.166008
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   84 | Reward:  19.00 | Steps:   19 | Avg(10):  13.80 | Loss: 4.137151
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   85 | Reward:  24.00 | Steps:   24 | Avg(10):  15.30 | Loss: 3.233229
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   86 | Reward:  18.00 | Steps:   18 | Avg(10):  15.90 | Loss: 5.646612
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   87 | Reward:  47.00 | Steps:   47 | Avg(10):  19.50 | Loss: 13.454795
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   88 | Reward:  10.00 | Steps:   10 | Avg(10):  19.20 | Loss: 47.407279
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   89 | Reward:  10.00 | Steps:   10 | Avg(10):  19.20 | Loss: 42.331184
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   90 | Reward:  10.00 | Steps:   10 | Avg(10):  18.70 | Loss: 37.736857
2026-01-07 11:17:15 | INFO     | q_learning | Run 1 | Episode   91 | Reward:  12.00 | Steps:   12 | Avg(10):  18.50 | Loss: 27.550360
